Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
11AY3031	SRST2_20160428	NZ_CM002367	NZ_CM002367	100.0	325.731	1indel		0.0	2493	0.434	1754	00096	no
11AY3031	SRST2_20160428	NZ_CP010389	NZ_CP010389	99.96	327.1	1indel		0.0	2496	0.419	1753	00097	no
11AY3031	SRST2_20160428	NC_019262	NC_019262	87.735	193.013	108snp8indel876holes		1.71	7191	0.125	1381	01537	no
11AY3052	SRST2_20160428	NZ_CP011979	NZ_CP011979	96.088	178.422	37snp1indel791holes		0.19	20222	0.478	1165	01780	no
11AY3052	SRST2_20160428	NZ_CP006919	NZ_CP006919	97.959	131.249	33snp516holes	edge0.0	0.133	25284	0.48	1140	00240	no
11AY3052	SRST2_20160428	NC_019151	NC_019151	99.959	91.642	3snp4indel		0.031	9803	0.087	1268	01147	no
11AY3052	SRST2_20160428	NC_009649	NC_009649	93.947	100.737	321snp12indel10643holes		0.194	175879	0.5	155	00444	no
11AY3052	SRST2_20160428	NC_019152	NC_019152	99.659	100.587	38snp72holes		0.18	21138	0.383	1162	01785	no
11AY3052	SRST2_20160428	NC_025130	NC_025130	81.671	159.817	48snp1indel9739holes		0.111	53134	0.495	891	01228	no
11AY3052	SRST2_20160428	NZ_CP006663	NZ_CP006663	78.451	98.43	353snp24indel25363holes		0.382	117755	0.5	335	01454	no
11AY3052	SRST2_20160428	NC_009793	NC_009793	98.203	113.915	3snp1indel166holes		0.033	9294	0.117	1283	00120	no
11AY3052	SRST2_20160428	NC_019384	NC_019384	100.0	136.526	24snp3indel		0.045	53286	0.489	889	01104	no
11AY3052	SRST2_20160428	NZ_CP011983	NZ_CP011983	100.0	146.866	20snp		0.046	43380	0.487	986	01717	no
11AY3052	SRST2_20160428	NZ_CP011990	NZ_CP011990	93.295	105.719	403snp16indel10891holes		0.266	162533	0.5	190	00932	no
11AY3052	SRST2_20160428	NC_025167	NC_025167	99.999	130.712	28snp4indel		0.028	99142	0.5	456	01548	no
11AY3052	SRST2_20160428	NZ_CP006928	NZ_CP006928	97.488	124.747	26snp1indel357holes	edge0.0	0.187	14249	0.474	1202	00892	no
11AY3052	SRST2_20160428	NZ_CP008930	NZ_CP008930	96.059	100.29	435snp11indel7388holes		0.241	187571	0.5	133	01475	no
11AY3052	SRST2_20160428	NZ_CP011637	NZ_CP011637	80.329	4.609	32snp2indel633holes	edge2.0	1.236	3223	0.5	1706	00495	no
11AY3052	SRST2_20160428	NC_019159	NC_019159	100.0	167.25	1snp		0.007	13636	0.482	1216	00774	no
11AY3052	SRST2_20160428	NZ_CP008799	NZ_CP008799	99.998	159.621	20snp1indel		0.034	58050	0.487	846	00822	no
11AY3052	SRST2_20160428	NZ_CP011977	NZ_CP011977	85.167	112.881	620snp16indel32454holes		0.333	218836	0.5	92	00055	no
11AY3052	SRST2_20160428	NC_020552	NC_020552	80.247	159.437	53snp9indel10667holes		0.122	54038	0.495	876	01215	no
11AY3052	SRST2_20160428	NC_019390	NC_019390	75.214	92.93	1418snp61indel51477holes		0.907	207819	0.5	106	00040	no
11AY3052	SRST2_20160428	NC_022740	NC_022740	86.792	148.947	44snp6109holes		0.11	46253	0.495	953	01343	no
11AY3052	SRST2_20160428	NC_019161	NC_019161	100.0	135.405	7snp		0.016	42447	0.482	992	01585	no
11AY3052	SRST2_20160428	NC_021666	NC_021666	100.0	162.379			0.0	14709	0.482	1195	00087	no
11AY3052	SRST2_20160428	NZ_CP014006	NZ_CP014006	86.755	148.538	41snp6114holes		0.102	46161	0.495	957	01347	no
11AY3052	SRST2_20160428	NZ_CP012990	NZ_CP012990	86.766	148.694	41snp6109holes		0.102	46161	0.495	956	01348	no
11AY3052	SRST2_20160428	NC_019165	NC_019165	76.7	143.949	178snp7indel25102holes		0.215	107748	0.5	406	00149	no
11AY3052	SRST2_20160428	NC_023905	NC_023905	98.315	119.717	168snp6indel1953holes		0.147	116047	0.5	347	00004	no
11AY3052	SRST2_20160428	NC_015515	NC_015515	81.519	129.383	79snp2indel1939holes	edge0.0	0.923	10497	0.5	1255	01315	no
11AY3052	SRST2_20160428	NC_021656	NC_021656	100.0	129.112	8snp		0.016	48790	0.497	933	00576	no
11AY3052	SRST2_20160428	NZ_CP011991	NZ_CP011991	99.999	127.689	27snp4indel		0.024	113638	0.5	364	00296	no
11AY3052	SRST2_20160428	NZ_CP010395	NZ_CP010395	100.0	146.64	20snp		0.046	43380	0.489	985	01720	no
11AY3052	SRST2_20160428	NC_023903	NC_023903	99.998	127.784	27snp4indel		0.024	113640	0.5	363	00299	no
11AY3052	SRST2_20160428	NZ_CP011577	NZ_CP011577	98.046	104.603	354snp11indel2549holes		0.276	130719	0.5	287	01691	no
11AY3052	SRST2_20160428	NC_020132	NC_020132	98.455	98.321	359snp13indel2549holes		0.221	165295	0.5	187	01079	no
11AY3052	SRST2_20160428	NZ_CP009873	NZ_CP009873	100.0	166.805			0.0	13841	0.482	1212	00770	no
11AY3052	SRST2_20160428	NZ_CP011988	NZ_CP011988	100.0	166.727			0.0	13841	0.48	1213	00771	no
11AY3052	SRST2_20160428	NC_021655	NC_021655	99.999	130.219	26snp6indel		0.033	78227	0.5	632	00772	no
11AY3052	SRST2_20160428	NZ_CP010394	NZ_CP010394	100.0	166.9			0.0	13841	0.48	1211	00893	no
11AY3052	SRST2_20160428	NZ_CP008798	NZ_CP008798	75.118	163.804	160snp10indel21261holes		0.249	85473	0.5	582	01520	no
11AY3052	SRST2_20160428	NZ_CP011993	NZ_CP011993	100.0	166.834			0.0	13841	0.48	1214	00896	no
11AY3052	SRST2_20160428	NC_024992	NC_024992	77.968	100.02	536snp15indel40138holes		0.377	182204	0.5	141	00567	no
11AY3052	SRST2_20160428	NC_011382	NC_011382	100.0	135.626	2snp		0.008	23753	0.48	1155	00380	no
11AY3052	SRST2_20160428	NZ_CP011987	NZ_CP011987	96.678	140.998	26snp2indel2458holes		0.036	74026	0.5	675	01282	no
11AY3052	SRST2_20160428	NZ_CP012995	NZ_CP012995	93.998	137.339	37snp2465holes		0.096	41072	0.495	1008	00635	no
11AY3052	SRST2_20160428	NZ_CP006927	NZ_CP006927	97.713	93.381	302snp4indel3265holes		0.216	142788	0.5	244	00188	no
11AY3052	SRST2_20160428	NZ_CP008800	NZ_CP008800	96.087	94.468	403snp14indel7618holes		0.215	194877	0.5	124	01592	no
11AY3052	SRST2_20160428	NC_019157	NC_019157	100.0	147.121	8snp		0.018	43380	0.487	984	01719	no
11AY3052	SRST2_20160428	NZ_CP008829	NZ_CP008829	92.113	97.397	414snp18indel19220holes		0.184	243824	0.5	71	01122	no
11AY3052	SRST2_20160428	NC_021654	NC_021654	98.961	94.53	337snp12indel2549holes		0.139	245869	0.5	70	01123	no
11AY3052	SRST2_20160428	NZ_CP009777	NZ_CP009777	97.512	94.221	407snp13indel5275holes		0.197	212192	0.5	101	00039	no
11AY3052	SRST2_20160428	NC_015154	NC_015154	76.014	100.113	1137snp47indel22913holes	edge0.0	1.564	95626	0.5	483	00921	no
11AY3052	SRST2_20160428	NZ_CP010393	NZ_CP010393	98.769	95.22	380snp11indel2549holes		0.185	207543	0.5	107	00041	no
11AY3052	SRST2_20160428	NC_018953	NC_018953	98.203	113.646	4snp1indel166holes		0.044	9294	0.117	1284	00115	no
11AY3052	SRST2_20160428	NZ_CP011604	NZ_CP011604	80.329	4.609	32snp2indel633holes	edge2.0	1.236	3223	0.5	1702	00491	no
11AY3052	SRST2_20160428	NZ_CP011652	NZ_CP011652	80.329	4.609	32snp2indel633holes	edge0.0	1.236	3223	0.5	1703	01053	no
11AY3052	SRST2_20160428	NZ_CP012991	NZ_CP012991	80.329	4.609	34snp2indel633holes	edge1.0	1.313	3223	0.5	1704	00493	no
11AY3052	SRST2_20160428	NZ_CP003994	NZ_CP003994	82.749	4.197	30snp1indel555holes	edge0.0	1.124	3223	0.5	1705	00494	no
11AY3052	SRST2_20160428	NZ_CP009778	NZ_CP009778	98.913	160.844	2snp166holes	edge0.0	0.013	15271	0.482	1188	01753	no
11AY3052	SRST2_20160428	NZ_CP011982	NZ_CP011982	98.839	154.58	25snp129indel588holes		0.049	51662	0.489	903	00944	no
11AY3052	SRST2_20160428	NZ_CP006924	NZ_CP006924	76.037	133.113	102snp7indel2613holes	edge0.0	1.227	10925	0.5	1243	01220	no
11AY3052	SRST2_20160428	NC_019155	NC_019155	99.477	124.915	158snp16indel596holes		0.138	115300	0.5	354	01672	no
11AY3052	SRST2_20160428	NC_009650	NC_009650	97.772	130.944	228snp9indel2393holes		0.217	107576	0.5	409	00159	no
11AY3052	SRST2_20160428	NZ_CP009115	NZ_CP009115	77.473	109.827	940snp25indel26585holes		1.028	118061	0.5	332	01461	no
11AY3052	SRST2_20160428	NC_025187	NC_025187	99.999	131.991	25snp6indel		0.022	114464	0.5	358	01678	no
11AY3052	SRST2_20160428	NZ_CP011981	NZ_CP011981	98.047	117.331	275snp5indel2549holes		0.215	130552	0.5	290	00020	no
11AY3052	SRST2_20160428	NZ_CP012884	NZ_CP012884	83.839	75.51	1090snp101indel31448holes		0.668	194742	0.5	125	01593	no
11AY3022	SRST2_20160428	NZ_CP011635	NZ_CP011635	89.548	125.495	548snp20indel34789holes		0.184	332956	0.5	24	01043	no
11AY3022	SRST2_20160428	NZ_CP010380	NZ_CP010380	92.407	135.876	827snp18indel24961holes		0.272	328905	0.5	27	01046	no
11AY3022	SRST2_20160428	NZ_CP009869	NZ_CP009869	76.421	125.876	615snp24indel89306holes		0.212	378808	0.5	19	00667	no
11AY3022	SRST2_20160428	NZ_CP012166	NZ_CP012166	94.349	1512.998	15snp2indel152holes		0.583	2725	0.5	1735	01667	no
11AY3022	SRST2_20160428	NC_019151	NC_019151	99.959	80.711	2snp4indel		0.02	9803	0.09	1268	01147	no
11AY3022	SRST2_20160428	NC_011207	NC_011207	100.0	858.431	4snp		0.052	7621	0.142	1362	01827	no
11AY3022	SRST2_20160428	NZ_CM002367	NZ_CM002367	100.0	1599.702	1indel		0.0	2493	0.433	1754	00096	no
11AY3022	SRST2_20160428	NZ_CP010389	NZ_CP010389	99.96	1607.453	1indel		0.0	2496	0.383	1753	00097	no
11AY3022	SRST2_20160428	NC_019262	NC_019262	88.875	659.647	111snp11indel791holes		1.734	7191	0.25	1381	01537	no
11AY3030	SRST2_20160428	NZ_CP014698	NZ_CP014698	81.403	163.548	1194snp88indel18586holes		1.463	100196	0.5	449	01413	no
11AY3030	SRST2_20160428	NC_019151	NC_019151	99.959	192.476	2snp4indel		0.02	9803	0.077	1268	01147	no
11AY3030	SRST2_20160428	NC_011641	NC_011641	80.927	166.437	703snp31indel12953holes	edge0.0	1.277	68018	0.5	757	00847	no
11AY3030	SRST2_20160428	NZ_CP011632	NZ_CP011632	77.753	166.589	894snp28indel18592holes		1.374	83652	0.5	594	01395	no
11AY3030	SRST2_20160428	NZ_CP011593	NZ_CP011593	82.883	169.951	801snp28indel11777holes		1.402	68910	0.5	746	00971	no
11AY3030	SRST2_20160428	NC_019346	NC_019346	83.478	162.661	792snp32indel10973holes		1.426	66531	0.5	772	01113	no
11AY3030	SRST2_20160428	NZ_CP009857	NZ_CP009857	75.236	166.262	772snp21indel19199holes	edge0.0	1.322	77575	0.5	639	00779	no
11AY3030	SRST2_20160428	NC_019368	NC_019368	76.364	176.869	771snp31indel20715holes		1.15	87731	0.5	563	01748	no
11AY3030	SRST2_20160428	NC_024997	NC_024997	86.204	190.984	434snp15indel12403holes		0.559	89977	0.5	540	00262	no
11AY3030	SRST2_20160428	NC_021488	NC_021488	82.004	177.576	523snp15indel11257holes		1.019	62592	0.5	808	00358	no
11AY3030	SRST2_20160428	NC_020280	NC_020280	77.021	228.306	7snp2indel1153holes	edge0.0	0.181	5022	0.497	1566	01709	no
11AY3030	SRST2_20160428	NZ_CP011609	NZ_CP011609	84.962	170.818	829snp33indel10595holes	edge0.0	1.381	70610	0.5	705	01489	no
11AY3030	SRST2_20160428	NC_005246	NC_005246	82.778	153.967	871snp19indel10345holes		1.749	60145	0.5	825	00586	no
11AY3030	SRST2_20160428	NZ_CP015075	NZ_CP015075	81.625	176.377	543snp10indel11673holes		1.047	63543	0.5	801	00361	no
11AY3030	SRST2_20160428	NC_010499	NC_010499	83.161	187.226	1indel1152holes	edge0.0	0.0	6847	0.451	1400	01407	no
11AY3030	SRST2_20160428	NC_019154	NC_019154	81.687	174.815	572snp15indel11326holes		1.131	61881	0.5	815	00472	no
11AY3030	SRST2_20160428	NZ_CP011640	NZ_CP011640	77.551	161.55	881snp27indel16393holes		1.554	73100	0.5	683	00137	no
11AY3030	SRST2_20160428	NC_023027	NC_023027	81.638	175.942	540snp21indel11671holes		1.04	63578	0.5	800	00362	no
11A14CRGN062	SRST2_20160428	NZ_CP009862	NZ_CP009862	81.048	223.074	168snp6indel15191holes		0.258	80186	0.5	622	00645	no
11A14CRGN062	SRST2_20160428	NC_019151	NC_019151	99.959	165.67	2snp4indel		0.02	9803	0.09	1268	01147	no
11A14CRGN062	SRST2_20160428	NC_023910	NC_023910	80.373	242.012	114snp14indel10470holes		0.265	53416	0.5	885	01102	no
11A14CRGN062	SRST2_20160428	NC_011383	NC_011383	79.546	185.475	357snp20indel14441holes		0.635	70655	0.5	704	01488	no
11A14CRGN062	SRST2_20160428	NC_024974	NC_024974	85.517	253.134	301snp12indel6260holes		0.813	43265	0.5	987	01718	no
11A14CRGN062	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.483	240.215	109snp9indel5940holes		0.215	56557	0.5	856	00956	no
11A14CRGN062	SRST2_20160428	NC_021622	NC_021622	79.039	247.193	59snp8indel11770holes		0.133	56171	0.5	857	00957	no
11A14CRGN062	SRST2_20160428	NC_025186	NC_025186	76.292	241.083	70snp11indel14032holes		0.155	59228	0.5	836	00712	no
11A14CRGN062	SRST2_20160428	NC_019087	NC_019087	80.211	221.227	339snp26indel8737holes		0.955	44216	0.5	970	01070	no
11A14CRGN062	SRST2_20160428	NZ_CP009867	NZ_CP009867	93.496	240.59	74snp8indel3506holes		0.147	54000	0.5	877	01216	no
11A14CRGN062	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.542	236.605	75snp7indel264holes		0.127	59138	0.5	838	00716	no
11A14CRGN062	SRST2_20160428	NZ_CP006924	NZ_CP006924	79.478	199.106	100snp7indel2237holes		1.151	10925	0.5	1243	01220	no
11A14CRGN062	SRST2_20160428	NC_022374	NC_022374	77.881	235.994	111snp14indel12013holes		0.262	54373	0.5	871	01222	no
11A14CRGN062	SRST2_20160428	NC_011385	NC_011385	77.028	213.831	147snp6indel17368holes		0.252	75617	0.5	653	01555	no
11A14CRGN062	SRST2_20160428	NC_019166	NC_019166	83.449	240.689	61snp7indel8399holes		0.144	50775	0.5	915	00813	no
11A14CRGN062	SRST2_20160428	NC_022375	NC_022375	76.155	249.603	70snp6indel14161holes		0.155	59395	0.499	829	00584	no
11A14CRGN062	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	241.223	70snp6indel		0.139	50333	0.5	917	00815	no
11A14CRGN062	SRST2_20160428	NC_019124	NC_019124	85.72	221.06	294snp14indel5847holes	edge0.0	0.836	40995	0.5	1010	01178	no
11A14CRGN062	SRST2_20160428	NC_021664	NC_021664	87.093	185.259	411snp23indel6836holes		0.889	53081	0.5	893	01230	no
11A14CRGN062	SRST2_20160428	NC_019033	NC_019033	85.644	237.882	311snp14indel6077holes	edge0.0	0.857	42379	0.5	993	01584	no
11A14CRGN062	SRST2_20160428	NC_014208	NC_014208	82.31	250.902	60snp9indel9660holes		0.133	54641	0.5	868	01087	no
11A14CRGN062	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.341	244.646	310snp42indel8669holes		0.93	42002	0.5	999	01586	no
11A14CRGN062	SRST2_20160428	NC_021660	NC_021660	87.91	186.998	459snp24indel6586holes		0.956	54605	0.5	869	01086	no
11A14CRGN062	SRST2_20160428	NC_019098	NC_019098	84.239	237.552	312snp12indel6221holes	edge0.0	0.937	39510	0.499	1024	00864	no
11A14CRGN062	SRST2_20160428	NC_025019	NC_025019	81.598	242.994	129snp10indel12053holes		0.241	65549	0.5	782	00726	no
11A14CRGN062	SRST2_20160428	NC_019262	NC_019262	89.473	306.787	117snp9indel750holes		1.816	7191	0.333	1381	01537	no
11A14CRGN062	SRST2_20160428	NZ_CP009864	NZ_CP009864	98.84	233.108	79snp6indel720holes		0.128	62589	0.499	809	00357	no
11A14CRGN062	SRST2_20160428	NC_011207	NC_011207	100.0	462.643	3snp		0.039	7621	0.174	1362	01827	no
11A14CRGN062	SRST2_20160428	NC_024967	NC_024967	82.9	219.95	246snp6indel12446holes		0.408	72800	0.5	686	00134	no
11A14CRGN062	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.253	248.383	68snp9indel1353holes		0.141	49467	0.5	925	00705	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP009862	NZ_CP009862	76.286	422.007	118snp6indel19009holes		0.193	80186	0.5	622	00645	no
11A14CRGN072-org1B	SRST2_20160428	NC_019151	NC_019151	99.959	299.865	3snp4indel		0.031	9803	0.099	1268	01147	no
11A14CRGN072-org1B	SRST2_20160428	NC_023910	NC_023910	78.724	458.412	107snp13indel11352holes		0.254	53416	0.5	885	01102	no
11A14CRGN072-org1B	SRST2_20160428	NC_011383	NC_011383	81.488	331.638	405snp20indel13068holes		0.703	70655	0.5	704	01488	no
11A14CRGN072-org1B	SRST2_20160428	NC_024974	NC_024974	85.409	485.269	295snp15indel6304holes		0.798	43265	0.5	987	01718	no
11A14CRGN072-org1B	SRST2_20160428	NC_022374	NC_022374	76.981	438.073	117snp13indel12503holes		0.279	54373	0.5	871	01222	no
11A14CRGN072-org1B	SRST2_20160428	NC_019101	NC_019101	100.0	267.277			0.0	2699	0.232	1738	00834	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.757	452.766	131snp8indel5786holes		0.258	56557	0.5	856	00956	no
11A14CRGN072-org1B	SRST2_20160428	NC_021622	NC_021622	80.953	455.42	64snp5indel10697holes		0.141	56171	0.5	857	00957	no
11A14CRGN072-org1B	SRST2_20160428	NC_019084	NC_019084	76.898	263.095	9snp1indel711holes		0.38	3082	0.5	1716	01819	no
11A14CRGN072-org1B	SRST2_20160428	NC_019087	NC_019087	80.763	416.166	323snp23indel8498holes		0.904	44216	0.5	970	01070	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP009867	NZ_CP009867	93.213	456.196	71snp8indel3659holes		0.141	54000	0.5	877	01216	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.599	447.365	74snp9indel229holes		0.126	59138	0.5	838	00716	no
11A14CRGN072-org1B	SRST2_20160428	NC_019103	NC_019103	97.855	260.302	1snp59holes		0.037	2750	0.236	1732	00838	no
11A14CRGN072-org1B	SRST2_20160428	NC_012916	NC_012916	100.0	265.625			0.0	2699	0.236	1737	00841	no
11A14CRGN072-org1B	SRST2_20160428	NC_019279	NC_019279	97.89	261.74	1snp57holes		0.038	2702	0.232	1736	00842	no
11A14CRGN072-org1B	SRST2_20160428	NC_019166	NC_019166	83.21	446.601	53snp6indel8520holes		0.125	50775	0.5	915	00813	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	455.986	70snp6indel		0.139	50333	0.5	917	00815	no
11A14CRGN072-org1B	SRST2_20160428	NC_019124	NC_019124	84.213	409.422	273snp13indel6464holes	edge0.0	0.791	40995	0.5	1010	01178	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP011637	NZ_CP011637	100.0	73.634	10snp2indel		0.31	3223	0.477	1706	00495	no
11A14CRGN072-org1B	SRST2_20160428	NC_021664	NC_021664	87.589	346.798	424snp22indel6573holes		0.912	53081	0.5	893	01230	no
11A14CRGN072-org1B	SRST2_20160428	NC_019033	NC_019033	87.383	451.512	304snp14indel5342holes	edge0.0	0.821	42379	0.5	993	01584	no
11A14CRGN072-org1B	SRST2_20160428	NC_019098	NC_019098	83.923	454.401	292snp12indel6346holes	edge0.0	0.88	39510	0.5	1024	00864	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.822	463.88	313snp41indel8465holes		0.933	42002	0.5	999	01586	no
11A14CRGN072-org1B	SRST2_20160428	NC_014478	NC_014478	99.255	77.38	38snp12indel50holes		0.467	8187	0.5	1331	01194	no
11A14CRGN072-org1B	SRST2_20160428	NC_021660	NC_021660	88.391	349.283	471snp22indel6324holes		0.976	54605	0.5	869	01086	no
11A14CRGN072-org1B	SRST2_20160428	NC_014208	NC_014208	84.29	466.709	69snp7indel8579holes		0.15	54641	0.5	868	01087	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP011604	NZ_CP011604	100.0	73.291	10snp2indel		0.31	3223	0.477	1702	00491	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP011652	NZ_CP011652	100.0	75.105	10snp2indel		0.31	3223	0.477	1703	01053	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP012991	NZ_CP012991	100.0	73.557	12snp2indel		0.372	3223	0.477	1704	00493	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP003994	NZ_CP003994	100.0	73.009	10snp1indel		0.31	3223	0.497	1705	00494	no
11A14CRGN072-org1B	SRST2_20160428	NC_025019	NC_025019	78.285	463.542	101snp6indel14229holes		0.197	65549	0.5	782	00726	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP009864	NZ_CP009864	93.007	434.53	89snp6indel4371holes		0.153	62589	0.5	809	00357	no
11A14CRGN072-org1B	SRST2_20160428	NC_022375	NC_022375	75.766	476.275	39snp4indel14393holes		0.087	59395	0.496	829	00584	no
11A14CRGN072-org1B	SRST2_20160428	NC_024967	NC_024967	90.218	390.192	283snp5indel7119holes		0.431	72800	0.5	686	00134	no
11A14CRGN072-org1B	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.257	471.588	68snp9indel1351holes		0.141	49467	0.5	925	00705	no
11A14CRGN072-org2B	SRST2_20160428	NC_019151	NC_019151	99.959	405.789	3snp4indel		0.031	9803	0.104	1268	01147	no
11A14CRGN072-org2B	SRST2_20160428	NC_023910	NC_023910	78.712	361.556	105snp12indel11360holes		0.25	53416	0.5	885	01102	no
11A14CRGN072-org2B	SRST2_20160428	NC_011383	NC_011383	78.122	333.652	360snp23indel15446holes		0.652	70655	0.5	704	01488	no
11A14CRGN072-org2B	SRST2_20160428	NC_024974	NC_024974	86.046	391.54	301snp12indel6030holes		0.808	43265	0.5	987	01718	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.443	379.917	102snp11indel5962holes		0.202	56557	0.5	856	00956	no
11A14CRGN072-org2B	SRST2_20160428	NC_021622	NC_021622	77.665	379.015	49snp6indel12544holes		0.112	56171	0.5	857	00957	no
11A14CRGN072-org2B	SRST2_20160428	NC_018660	NC_018660	100.0	992.066	6snp		0.387	1549	0.055	1810	00339	no
11A14CRGN072-org2B	SRST2_20160428	NC_019059	NC_019059	93.79	481.375	47snp3indel95holes		3.239	1546	0.5	1811	00340	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP008720	NZ_CP008720	78.044	614.572	31snp2indel339holes		2.573	1544	0.333	1812	00341	no
11A14CRGN072-org2B	SRST2_20160428	NC_019087	NC_019087	79.222	333.407	308snp27indel9175holes		0.879	44216	0.5	970	01070	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP009867	NZ_CP009867	93.767	379.011	77snp9indel3360holes		0.152	54000	0.499	877	01216	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.466	392.64	69snp7indel310holes		0.117	59138	0.499	838	00716	no
11A14CRGN072-org2B	SRST2_20160428	NC_022374	NC_022374	76.24	346.051	102snp12indel12908holes		0.246	54373	0.5	871	01222	no
11A14CRGN072-org2B	SRST2_20160428	NC_019166	NC_019166	83.228	356.168	51snp7indel8511holes		0.121	50775	0.5	915	00813	no
11A14CRGN072-org2B	SRST2_20160428	NC_022661	NC_022661	77.126	600.982	28snp8indel351holes	edge0.0	2.331	1552	0.409	1801	00456	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	381.217	69snp7indel		0.137	50333	0.499	917	00815	no
11A14CRGN072-org2B	SRST2_20160428	NC_019124	NC_019124	83.666	344.009	270snp12indel6688holes	edge0.0	0.787	40995	0.5	1010	01178	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP015143	NZ_CP015143	100.0	1026.656	2snp		0.129	1549	0.063	1807	00450	no
11A14CRGN072-org2B	SRST2_20160428	NC_021664	NC_021664	84.309	313.77	407snp26indel8313holes		0.909	53081	0.5	893	01230	no
11A14CRGN072-org2B	SRST2_20160428	NC_019033	NC_019033	85.587	360.731	307snp18indel6099holes	edge0.0	0.846	42379	0.5	993	01584	no
11A14CRGN072-org2B	SRST2_20160428	NC_014208	NC_014208	80.915	389.047	56snp8indel10423holes		0.127	54641	0.499	868	01087	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.061	371.014	306snp40indel8787holes		0.921	42002	0.5	999	01586	no
11A14CRGN072-org2B	SRST2_20160428	NC_019098	NC_019098	84.67	360.582	303snp12indel6051holes	edge0.0	0.906	39510	0.5	1024	00864	no
11A14CRGN072-org2B	SRST2_20160428	NC_021660	NC_021660	85.205	314.725	454snp26indel8063holes		0.975	54605	0.5	869	01086	no
11A14CRGN072-org2B	SRST2_20160428	NC_002145	NC_002145	99.935	1024.683	3snp2indel		0.194	1549	0.086	1806	00451	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CM003776	NZ_CM003776	76.983	678.809	25snp8indel354holes		2.089	1551	0.178	1805	00452	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CM003775	NZ_CM003775	81.367	660.422	29snp8indel286holes		2.292	1551	0.274	1804	00453	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP012630	NZ_CP012630	77.756	559.901	35snp345holes		2.902	1551	0.297	1803	00454	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP011143	NZ_CP011143	77.32	693.028	27snp7indel348holes	edge0.0	2.243	1552	0.389	1802	00455	no
11A14CRGN072-org2B	SRST2_20160428	NC_025019	NC_025019	78.441	386.04	87snp5indel14128holes		0.169	65549	0.499	782	00726	no
11A14CRGN072-org2B	SRST2_20160428	NC_019049	NC_019049	91.476	26.134	95snp342holes		2.589	4012	0.333	1649	01608	no
11A14CRGN072-org2B	SRST2_20160428	NC_018663	NC_018663	100.0	1003.124	7snp		0.452	1549	0.055	1809	00458	no
11A14CRGN072-org2B	SRST2_20160428	NC_018652	NC_018652	100.0	1024.967	7snp		0.452	1549	0.058	1808	00459	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP009864	NZ_CP009864	93.272	379.636	90snp7indel4205holes		0.154	62589	0.5	809	00357	no
11A14CRGN072-org2B	SRST2_20160428	NC_022375	NC_022375	75.922	382.266	61snp5indel14300holes		0.135	59395	0.5	829	00584	no
11A14CRGN072-org2B	SRST2_20160428	NC_024967	NC_024967	80.027	374.191	216snp4indel14537holes		0.371	72800	0.5	686	00134	no
11A14CRGN072-org2B	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.873	372.782	75snp10indel1046holes		0.155	49467	0.499	925	00705	no
11A14CRGN088	SRST2_20160428	NZ_CP009862	NZ_CP009862	77.707	220.372	120snp6indel17870holes		0.193	80186	0.5	622	00645	no
11A14CRGN088	SRST2_20160428	NC_019151	NC_019151	99.959	159.736	3snp4indel		0.031	9803	0.123	1268	01147	no
